task_category,lever,n_rows,mean_canonical_score,mean_cost_usd,tier_1_pass_rate_applicable,delta_canonical_vs_category_baseline
customer_support,baseline,80,0.8031,0.000951,0.9625,0.0
customer_support,batch,80,0.8026,0.000476,0.9625,-0.0004
customer_support,compression,80,0.7527,0.000881,0.975,-0.0504
customer_support,output_cap,80,0.7989,0.000942,0.9625,-0.0041
rag_qa,baseline,80,0.9519,0.001898,0.8,0.0
rag_qa,batch,80,0.9517,0.000948,0.8125,-0.0001
rag_qa,compression,80,0.4984,0.00142,0.0375,-0.4534
rag_qa,output_cap,80,0.9484,0.001898,0.8,-0.0035
reasoning,baseline,80,0.9384,0.002945,0.85,0.0
reasoning,batch,80,0.9236,0.001498,0.8,-0.0148
reasoning,compression,80,0.7251,0.003081,0.5625,-0.2133
reasoning,output_cap,80,0.8064,0.001817,0.5875,-0.1321
summarisation,baseline,80,0.8281,0.007003,n/a,0.0
summarisation,batch,80,0.8185,0.003447,n/a,-0.0096
summarisation,compression,80,0.7592,0.004901,n/a,-0.0689
summarisation,output_cap,80,0.7607,0.005911,n/a,-0.0674
