task_category,model,lever,n_rows,mean_canonical_score,mean_cost_usd,tier_1_pass_rate_all
customer_support,claude-haiku-4-5,baseline,20,0.7295,0.00052,0.95
customer_support,claude-haiku-4-5,batch,20,0.7232,0.000259,0.95
customer_support,claude-haiku-4-5,compression,20,0.6447,0.00047,0.9
customer_support,claude-haiku-4-5,output_cap,20,0.7215,0.000518,0.95
customer_support,claude-sonnet-4-6,baseline,20,0.7873,0.001735,1.0
customer_support,claude-sonnet-4-6,batch,20,0.7772,0.00086,1.0
customer_support,claude-sonnet-4-6,compression,20,0.693,0.001596,1.0
customer_support,claude-sonnet-4-6,output_cap,20,0.8115,0.001695,1.0
customer_support,gpt-5.4-2026-03-05,baseline,20,0.8745,0.001218,0.95
customer_support,gpt-5.4-2026-03-05,batch,20,0.8817,0.000614,0.95
customer_support,gpt-5.4-2026-03-05,compression,20,0.8672,0.001149,1.0
customer_support,gpt-5.4-2026-03-05,output_cap,20,0.8585,0.001227,0.95
customer_support,gpt-5.4-mini-2026-03-17,baseline,20,0.821,0.000332,0.95
customer_support,gpt-5.4-mini-2026-03-17,batch,20,0.8283,0.00017,0.95
customer_support,gpt-5.4-mini-2026-03-17,compression,20,0.8057,0.000307,1.0
customer_support,gpt-5.4-mini-2026-03-17,output_cap,20,0.8043,0.000329,0.95
rag_qa,claude-haiku-4-5,baseline,20,0.8525,0.001141,0.8
rag_qa,claude-haiku-4-5,batch,20,0.8512,0.00057,0.8
rag_qa,claude-haiku-4-5,compression,20,0.3962,0.001238,0.0
rag_qa,claude-haiku-4-5,output_cap,20,0.8337,0.001141,0.8
rag_qa,claude-sonnet-4-6,baseline,20,0.9925,0.003241,0.75
rag_qa,claude-sonnet-4-6,batch,20,0.99,0.001615,0.75
rag_qa,claude-sonnet-4-6,compression,20,0.6525,0.002369,0.05
rag_qa,claude-sonnet-4-6,output_cap,20,0.9925,0.003242,0.7
rag_qa,gpt-5.4-2026-03-05,baseline,20,0.9788,0.002476,0.9
rag_qa,gpt-5.4-2026-03-05,batch,20,0.9807,0.001241,0.9
rag_qa,gpt-5.4-2026-03-05,compression,20,0.5175,0.001578,0.1
rag_qa,gpt-5.4-2026-03-05,output_cap,20,0.9822,0.002479,0.9
rag_qa,gpt-5.4-mini-2026-03-17,baseline,20,0.9838,0.000733,0.75
rag_qa,gpt-5.4-mini-2026-03-17,batch,20,0.985,0.000365,0.8
rag_qa,gpt-5.4-mini-2026-03-17,compression,20,0.4275,0.000496,0.0
rag_qa,gpt-5.4-mini-2026-03-17,output_cap,20,0.985,0.000731,0.8
reasoning,claude-haiku-4-5,baseline,20,0.9088,0.001944,0.9
reasoning,claude-haiku-4-5,batch,20,0.9,0.000987,0.85
reasoning,claude-haiku-4-5,compression,20,0.6308,0.001746,0.45
reasoning,claude-haiku-4-5,output_cap,20,0.6487,0.001123,0.45
reasoning,claude-sonnet-4-6,baseline,20,0.9425,0.005985,0.8
reasoning,claude-sonnet-4-6,batch,20,0.9187,0.003072,0.7
reasoning,claude-sonnet-4-6,compression,20,0.7075,0.005796,0.45
reasoning,claude-sonnet-4-6,output_cap,20,0.7963,0.002841,0.5
reasoning,gpt-5.4-2026-03-05,baseline,20,0.97,0.003022,0.85
reasoning,gpt-5.4-2026-03-05,batch,20,0.965,0.0015,0.85
reasoning,gpt-5.4-2026-03-05,compression,20,0.801,0.003794,0.6
reasoning,gpt-5.4-2026-03-05,output_cap,20,0.9012,0.002582,0.7
reasoning,gpt-5.4-mini-2026-03-17,baseline,20,0.9325,0.000829,0.85
reasoning,gpt-5.4-mini-2026-03-17,batch,20,0.9107,0.000431,0.8
reasoning,gpt-5.4-mini-2026-03-17,compression,20,0.7612,0.000987,0.75
reasoning,gpt-5.4-mini-2026-03-17,output_cap,20,0.8793,0.000721,0.7
summarisation,claude-haiku-4-5,baseline,20,0.7535,0.00376,0.0
summarisation,claude-haiku-4-5,batch,20,0.7745,0.001866,0.0
summarisation,claude-haiku-4-5,compression,20,0.6763,0.002554,0.0
summarisation,claude-haiku-4-5,output_cap,20,0.7205,0.003614,0.0
summarisation,claude-sonnet-4-6,baseline,20,0.8318,0.011302,0.0
summarisation,claude-sonnet-4-6,batch,20,0.799,0.005616,0.0
summarisation,claude-sonnet-4-6,compression,20,0.7817,0.007902,0.0
summarisation,claude-sonnet-4-6,output_cap,20,0.7712,0.010901,0.0
summarisation,gpt-5.4-2026-03-05,baseline,20,0.916,0.010162,0.0
summarisation,gpt-5.4-2026-03-05,batch,20,0.9008,0.005045,0.0
summarisation,gpt-5.4-2026-03-05,compression,20,0.8318,0.007222,0.0
summarisation,gpt-5.4-2026-03-05,output_cap,20,0.7915,0.00722,0.0
summarisation,gpt-5.4-mini-2026-03-17,baseline,20,0.8113,0.002787,0.0
summarisation,gpt-5.4-mini-2026-03-17,batch,20,0.7997,0.001263,0.0
summarisation,gpt-5.4-mini-2026-03-17,compression,20,0.747,0.001927,0.0
summarisation,gpt-5.4-mini-2026-03-17,output_cap,20,0.7595,0.001908,0.0
