model,lever,n_rows,mean_canonical_score,mean_cost_usd,tier_1_pass_rate_all,tier_1_pass_rate_applicable,delta_canonical_vs_baseline,cost_ratio_vs_baseline,delta_t1_pass_rate_all_vs_baseline,delta_t1_pass_rate_applicable_vs_baseline
claude-haiku-4-5,baseline,80,0.8111,0.001841,0.6625,0.8833,0.0,1.0,0.0,0.0
claude-haiku-4-5,batch,80,0.8123,0.00092,0.65,0.8667,0.0012,0.4999,-0.0125,-0.0167
claude-haiku-4-5,compression,80,0.587,0.001502,0.3375,0.45,-0.2241,0.8156,-0.325,-0.4333
claude-haiku-4-5,output_cap,80,0.7311,0.001599,0.55,0.7333,-0.0799,0.8685,-0.1125,-0.15
claude-sonnet-4-6,baseline,80,0.8885,0.005566,0.6375,0.85,0.0,1.0,0.0,0.0
claude-sonnet-4-6,batch,80,0.8713,0.002791,0.6125,0.8167,-0.0172,0.5014,-0.025,-0.0333
claude-sonnet-4-6,compression,80,0.7087,0.004416,0.375,0.5,-0.1798,0.7934,-0.2625,-0.35
claude-sonnet-4-6,output_cap,80,0.8429,0.00467,0.55,0.7333,-0.0456,0.839,-0.0875,-0.1167
gpt-5.4-2026-03-05,baseline,80,0.9348,0.00422,0.675,0.9,0.0,1.0,0.0,0.0
gpt-5.4-2026-03-05,batch,80,0.9321,0.0021,0.675,0.9,-0.0027,0.4977,0.0,0.0
gpt-5.4-2026-03-05,compression,80,0.7544,0.003436,0.425,0.5667,-0.1804,0.8143,-0.25,-0.3333
gpt-5.4-2026-03-05,output_cap,80,0.8834,0.003377,0.6375,0.85,-0.0514,0.8003,-0.0375,-0.05
gpt-5.4-mini-2026-03-17,baseline,80,0.8871,0.00117,0.6375,0.85,0.0,1.0,0.0,0.0
gpt-5.4-mini-2026-03-17,batch,80,0.8809,0.000557,0.6375,0.85,-0.0062,0.4761,0.0,0.0
gpt-5.4-mini-2026-03-17,compression,80,0.6854,0.000929,0.4375,0.5833,-0.2017,0.7941,-0.2,-0.2667
gpt-5.4-mini-2026-03-17,output_cap,80,0.857,0.000922,0.6125,0.8167,-0.0301,0.7881,-0.025,-0.0333
